"Date","Price","Open","High","Low","Vol.","Change %"
"2022-10-12","11,600.20","11,600.20","11,600.20","11,600.20","","-0.30%"
"2022-10-11","11,635.29","11,635.29","11,635.29","11,635.29","","-0.62%"
"2022-10-10","11,708.00","11,708.00","11,708.00","11,708.00","","-0.80%"
"2022-10-07","11,802.29","11,802.29","11,802.29","11,802.29","","-2.85%"
"2022-10-06","12,148.85","12,148.85","12,148.85","12,148.85","","-0.92%"
"2022-10-05","12,261.84","12,261.84","12,261.84","12,261.84","","-0.24%"
"2022-10-04","12,291.39","12,291.39","12,291.39","12,291.39","","3.26%"
"2022-10-03","11,903.58","11,903.58","11,903.58","11,903.58","","2.60%"
"2022-09-30","11,601.76","11,601.76","11,601.76","11,601.76","","-1.36%"
"2022-09-29","11,761.64","11,761.64","11,761.64","11,761.64","","-2.12%"
"2022-09-28","12,016.63","12,016.63","12,016.63","12,016.63","","2.14%"
"2022-09-27","11,764.92","11,764.92","11,764.92","11,764.92","","-0.10%"
"2022-09-26","11,777.06","11,777.06","11,777.06","11,777.06","","-1.12%"
"2022-09-23","11,910.54","11,910.54","11,910.54","11,910.54","","-1.80%"
"2022-09-22","12,128.60","12,128.60","12,128.60","12,128.60","","-1.09%"
"2022-09-21","12,262.51","12,262.51","12,262.51","12,262.51","","-1.68%"
"2022-09-20","12,471.66","12,471.66","12,471.66","12,471.66","","-1.20%"
"2022-09-19","12,623.69","12,623.69","12,623.69","12,623.69","","0.71%"
"2022-09-16","12,535.31","12,535.31","12,535.31","12,535.31","","-0.90%"
"2022-09-15","12,649.76","12,649.76","12,649.76","12,649.76","","-1.06%"
"2022-09-14","12,785.38","12,785.38","12,785.38","12,785.38","","0.37%"
"2022-09-13","12,737.84","12,737.84","12,737.84","12,737.84","","-4.27%"
"2022-09-12","13,305.59","13,305.59","13,305.59","13,305.59","","1.08%"
"2022-09-09","13,163.81","13,163.81","13,163.81","13,163.81","","1.65%"
"2022-09-08","12,950.30","12,950.30","12,950.30","12,950.30","","0.76%"
